,id,Locality,Postcode,Street,Number,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,TerraceArea,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades, Swimming pool,State of the building
80,10670349,Woluwe-St-Lambert,1200,"Avenue des Cerisiers, ",95,APARTMENT,APARTMENT,385000,FOR_SALE,2,92.0,No,Yes,No,Yes,10.0,No,,No info,No info,2,No,JUST_RENOVATED
81,10668885,Antwerpen,2000,Sint-Katelijnevest ,24,APARTMENT,APARTMENT,425000,FOR_SALE,3,108.0,No,No,No,Yes,10.0,No,,,No info,2,No,GOOD
82,10670895,Watermael-Boitsfort,1170,Chaussée de la Hulpe ,166,APARTMENT,PENTHOUSE,595000,FOR_SALE,3,133.0,No,No,,Yes,15.0,No,,No info,No info,2,No,GOOD
83,10588500,Ternat,1742,Immo Van Middelem,No info,APARTMENT,LOFT,1250000,FOR_SALE,3,366.0,No,Yes,No,Yes,114.0,No,,,No info,4,No,AS_NEW
84,10675358,Anderlecht,1070,Rue Potaerdenberg ,31,APARTMENT,APARTMENT,180000,FOR_SALE,1,71.0,No,Yes,No,No,,No,,No info,No info,2,No,TO_BE_DONE_UP
85,10677271,Wolvertem,1861,Valkebeekstraat ,24,APARTMENT,APARTMENT,209000,FOR_SALE,2,95.0,No,No,,Yes,2.0,No,,,No info,2,No,TO_BE_DONE_UP
86,10675329,Woluwe-St-Lambert,1200,"Avenue des Cerisiers, ",212,APARTMENT,APARTMENT,230000,FOR_SALE,3,117.0,No,Yes,No,Yes,8.0,No,,No info,No info,2,No,TO_BE_DONE_UP
87,10677803,Borgerhout,2140,Plantin en Moretuslei ,135A,APARTMENT,APARTMENT,259000,FOR_SALE,2,106.0,No,No,,Yes,6.0,No,,,No info,3,No,TO_BE_DONE_UP
88,10677713,Etterbeek,1040,Avenue de la chasse ,159,APARTMENT,APARTMENT,270000,FOR_SALE,1,65.0,No,Yes,No,Yes,17.0,No,,No info,No info,2,No,GOOD
89,10676485,Auderghem,1160,Place Communale ,8,APARTMENT,PENTHOUSE,309000,FOR_SALE,1,80.0,No,No,No,No,,No,,No info,No info,3,No,AS_NEW
90,10676483,Auderghem,1160,Place Communale ,8,APARTMENT,APARTMENT,349000,FOR_SALE,2,97.0,No,No,No,Yes,5.0,No,,No info,No info,3,No,AS_NEW
91,10676484,Auderghem,1160,Place Communale ,8,APARTMENT,APARTMENT,350000,FOR_SALE,2,104.0,No,No,No,Yes,9.0,No,,No info,No info,3,No,AS_NEW
92,10676496,Auderghem,1160,Place Communale ,8,APARTMENT,PENTHOUSE,390000,FOR_SALE,2,94.0,No,No,No,Yes,8.0,No,,No info,No info,4,No,AS_NEW
93,10676501,Auderghem,1160,Place Communale ,8,APARTMENT,APARTMENT,746000,FOR_SALE,3,161.0,No,No,No,Yes,14.0,No,,No info,No info,4,No,AS_NEW
94,10675409,Woluwe-Saint-Lambert,1200,Bld. Brand Whitlock ,108,APARTMENT,DUPLEX,1095000,FOR_SALE,5,300.0,No,Yes,No,Yes,15.0,No,,No info,No info,2,No,AS_NEW
95,10675401,Oudergem,1160,Vorstlaan ,292,APARTMENT,PENTHOUSE,385000,FOR_SALE,2,80.0,No,Yes,No,Yes,9.0,No,,No info,No info,2,No,AS_NEW
96,10668584,Berchem-Sainte-Agathe,1082,Avenue Charles Quint ,515,APARTMENT,APARTMENT,129000,FOR_SALE,1,35.0,No,Yes,No,Yes,10.0,No,,No info,No info,2,No,GOOD
97,10666536,Watermael-Boitsfort,1170,Chaussée de la Hulpe ,166,APARTMENT,APARTMENT,345000,FOR_SALE,2,95.0,No,No,,Yes,3.0,No,,No info,No info,2,No,GOOD
98,10666535,Watermael-Boitsfort,1170,Chaussée de la Hulpe ,166,APARTMENT,APARTMENT,345000,FOR_SALE,1,95.0,No,No,,Yes,3.0,No,,No info,No info,2,No,GOOD
