,id,Locality,Postcode,Street,Number,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,TerraceArea,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades, Swimming pool,State of the building
154,10682405,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,1080000,FOR_SALE,4,300.0,No info,No,,Yes,,No,,140,-160,2,No,
155,10682403,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,720000,FOR_SALE,7,365.0,No info,No,,No,,No,,0,-365,,No,TO_BE_DONE_UP
156,10682401,Koekelberg,1081,Avenue de l'Hopital Français ,15,HOUSE,APARTMENT_BLOCK,1080000,FOR_SALE,4,300.0,No info,No,,Yes,,No,,140,-160,2,No,
157,10682400,Vielsalm,6690,Les Grands Champs ,36,HOUSE,HOUSE,285000,FOR_SALE,4,106.0,No,No,,Yes,,Yes,,900,794,4,No,GOOD
158,10682396,Namur,5000,Place Wiertz ,2,HOUSE,HOUSE,950000,FOR_SALE,7,363.0,No,No,Yes,No,,Yes,290.0,0,-363,4,No,AS_NEW
159,10682393,Wevelgem,8560,Vanackerestraat ,2,HOUSE,HOUSE,219500,FOR_SALE,3,214.0,No info,No,No,No,,No,,172,-42,,No,GOOD
160,10682391,Lembeek,1502,Claesplein ,18,HOUSE,APARTMENT_BLOCK,465000,FOR_SALE,5,200.0,No,No,,Yes,,No,,292,92,2,No,GOOD
161,10682390,Lembeek,1502,Claesplein ,18,HOUSE,APARTMENT_BLOCK,465000,FOR_SALE,5,200.0,No,No,,Yes,,No,,292,92,2,No,GOOD
162,10682386,Wemmel,1780,Meyskensstraat ,222,APARTMENT,APARTMENT,410000,FOR_SALE,3,105.0,No,No,,Yes,16.0,No,,,No info,2,No,AS_NEW
163,10682384,Wemmel,1780,Meyskensstraat ,222,HOUSE,APARTMENT_BLOCK,298000,FOR_SALE,2,188.0,No,No,,Yes,15.0,Yes,34.0,159,-29,3,No,TO_BE_DONE_UP
164,10682383,Wellen,3830,Dorpsstraat ,28A,HOUSE,HOUSE,399900,FOR_SALE,3,172.0,No info,No,No,Yes,,Yes,,332,160,4,No,AS_NEW
165,10682382,Waterloo,1410,Chaussée de Tervuren ,186,HOUSE,VILLA,2100000,FOR_SALE,6,416.0,No,Yes,No,Yes,22.0,No,,4050,3634,4,No,AS_NEW
166,10682381,Koksijde,8670,Zeelaan ,276,APARTMENT,APARTMENT,299000,FOR_SALE,3,95.0,No,Yes,No,Yes,,No,,No info,No info,3,No,
167,10682378,Onkerzele,9500,Onkerzelestraat ,272,APARTMENT,APARTMENT,139000,FOR_SALE,2,82.0,No,No,,No,,No,,No info,No info,2,No,GOOD
168,10682377,Onkerzele,9500,Onkerzelestraat ,272,APARTMENT,APARTMENT,165000,FOR_SALE,2,76.0,No,No,,No,,No,,No info,No info,2,No,GOOD
