url,Locality,Type of property,Subtype of property,Price,Type of Transaction,Nº rooms,Living area,Equipped kitchen,Furnished,Fireplace,Terrace,Area Terrace,Land Surface,Nº facades,Swimming Pool,State Building,Garden,Area Garden
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10671067,Ganshoren,APARTMENT,APARTMENT,215000,FOR_SALE,2,,Yes,No,No,Yes,3.0,,2.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10644855,,APARTMENT,APARTMENT,715000,FOR_SALE,2,,Yes,No,No,Yes,10.0,,2.0,No,JUST_RENOVATED,,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10659994,Woluwe-St-Lambert,APARTMENT,APARTMENT,495000,FOR_SALE,4,,Yes,No,No,Yes,30.0,,,No,GOOD,,
https://www.immoweb.be/en/classified/service-flat/for-sale/les%20bons%20villers%20villers-perwin/6210/10666397,Nivelles,APARTMENT,SERVICE_FLAT,170000,FOR_SALE,1,,Yes,No,No,Yes,8.0,,,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10666348,Woluwe-St-Lambert,APARTMENT,APARTMENT,240000,FOR_SALE,2,,Yes,No,No,Yes,17.0,,,No,TO_RENOVATE,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10666878,Bruxelles,APARTMENT,APARTMENT,245000,FOR_SALE,2,,Yes,No,No,,,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10668189,Bruxelles,APARTMENT,APARTMENT,249000,FOR_SALE,2,,Yes,No,No,Yes,12.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10668365,Dworp,APARTMENT,APARTMENT,280000,FOR_SALE,2,,Yes,No,No,Yes,19.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10666516,Bruxelles,APARTMENT,APARTMENT,275000,FOR_SALE,2,,Yes,No,No,Yes,7.0,,4.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/vlezenbeek/1602/10667436,Dilbeek,APARTMENT,APARTMENT,325000,FOR_SALE,2,,Yes,No,No,Yes,6.0,,2.0,No,GOOD,Yes,
https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/10666507,Anderlecht,APARTMENT,APARTMENT,285000,FOR_SALE,2,,Yes,No,No,Yes,5.0,,2.0,No,GOOD,Yes,60.0
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10666430,Woluwe-St-Pierre,APARTMENT,APARTMENT,330000,FOR_SALE,2,,Yes,No,No,Yes,,,,No,AS_NEW,,
https://www.immoweb.be/en/classified/penthouse/for-sale/anderlecht/1070/10667427,Laeken,APARTMENT,PENTHOUSE,349000,FOR_SALE,2,,Yes,No,No,,,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/10666575,Gent,APARTMENT,APARTMENT,625000,FOR_SALE,3,,Yes,No,No,Yes,27.0,,4.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10656608,Gent,APARTMENT,APARTMENT,359000,FOR_SALE,2,,Yes,No,No,Yes,5.0,,2.0,No,GOOD,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1050/10656771,UCCLE,APARTMENT,APARTMENT,360000,FOR_SALE,1,,Yes,No,No,Yes,21.0,,2.0,No,AS_NEW,,
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/10162465,Middelkerke,APARTMENT,APARTMENT,450000,FOR_SALE,2,,Yes,No,No,Yes,,,2.0,No,GOOD,,
